,title,description
160,Seafood cocktail,"appetizer, squid, mixed, Various, such, fish, lime"
161,Senate bean soup,"navy, early, 20th, original, garlic, ==, several, due, enough, serve, following, next, modern, small, represent, black, prepare, bean, own, soup, new, real, Southern, long, rich, thick, have, add, traditional, southern, overnight, little, cut, bay, be, slow, cook, twentieth, large, much, kitchen, tend, other, hot, ham, chopped2, tasteWash, run, covered, Remove, set, cool, soup, potatoes5, choppedhalf, dry, bring, mix, ===, bland, try, available, general, rotating, Cold, War-era, 16-ounce, legume, official"
162,Slinger (dish),"Midwestern, other, chili, be, late-night, culinary, hometown, hash-fried, entire, ==, numerous, basic, Top, Vegetarian, veggie, white, gravy, half, light, dark, equal, extra, easy, contain, grilled, sandwich, cheese, open-faced, piled, high, Hawaiian, many, french, brown, curd"
163,Sloppy joe,"sloppy, sandwich, other, early, 20th, ==, mid-20th, American, joe-type, different, Spanish, loose, sloppy, 'Good, 'Sloppy, ask, same, new, .The, cheap, casual, such, hot, similar, celery.Stewed, common, several, culinary, stewed, steamed, Indian, pav, vegetable, be, traditional, tavern, due, tomato-based, northern, unrelated, deli, ham, Russian, Swiss"
164,Smelt (fish),"small, typical, distinguish, related, deep-sea, common, North, American, northern, large, spawning, western, recent, adjacent, few, net, hand-held, fish, eaten, whole, ==, reach, many, lake, anadromous, fresh, breed, such, entire, Canadian, early, Fish, dip, tiny, tidal, Many, narrow, straddle, get, good, important, saltwater, go, customary, cold, warm, command, high, supplemental, due, flash, present, frozen, Typical, pan-frying, ===, popular, full, Japanese, yellow, orange, deep, 多春鱼, duō, prime, coastal, yearly, alive, traditional, multiple, annual, up.The, two-day, first, free, welcome, support, festival, Western, long, commercial, sport, late, mid-July, one-day, outdoor, =="
165,Sonofabitch stew,"son-of-a-bitch, cowboy, American, ==, vary, unweaned, hot, last, key, edible, young, marrow-like, delicious, have, distinctive, rennin-curdled, marrow, sweetbread, traditional, European, many, German, French, spinal, following, moderate, fat, dry, white, strong, few, green, roast, sliced, thicken, Alternative, sonofabitch, rascal, unpopular, son-of-a-gun, polite, 0-19-211579-0"
166,Soul food,"African, American, Native, common, historical, cultural, describe, popular, key, unfamiliar, northern, Black-owned, ate, soul, be, European, integral, limited, 3-4, such, catfish, enslaved, primary, cooked, sweet, eat, high, balance, long, time-honored, slave-invented, get, Southern, special, many, same, ancient, private, Many, French, black, Creole, white, famous, great, civil, travel, several, ==, important, southern, main, make, familiar, available, other, wild, southeastern, cornbread, Indian, hoe, Johnny, present, hush, hickory, native, seasonal, geographical, Common, entire, organ, small, hog, early, substantial, add, western, red, Several, essential, tropical, black-eyed, staple, documented, soul, reminiscent, frequent, analogous, soak, open, possible, illegal, learn, read, write, first, Good, former, mid-20th, African-American, notable, traditional, real, influential, do, simple, healthful, basic, fresh, various, religious, large, public, social, fund, charitable, Cultural, Traditional, due, material, unhealthy, flavor, true, take, distinguish, middle-class, standard, eponymous, single, “, detrimental, vocal, culinary, mid-twentieth, caloric, inexpensive, low-quality, salted, negative, foundational, contemporary, differ, 'traditional, different, federal, agricultural, nutritional, racial, accessible, others.An, afford, buy, new, replace, pour, liquefied, re-solidified, next, healthy, use, liquid, vegetable, turkey, late, 20th, include, vegetarian, soy-based, tasty, authentic.Several, rich, folic, manganese, omega-3, fatty, play, ovarian, slow, lead, water-soluble, complex, documentary, –, cabin"
167,Sour cream,"Sour, dairy, regular, certain, lactic, bacterial, ==, sour, moderate, be, pasteurized, acid-producing, acidic, natural, it.Traditional, characteristic, Commercial, contain, whey, aqueous, fourth, consistent, good, Canadian, carob, locust, glycol, mono-, obtain, sour, butterfat, Fat-free, non-fat, many, unopened, enzyme, pure, Aspergillus, oryzae, local, last, Physical-chemical, ===, include, following, grade, 3.0-3.5, main, globular, total, casein, molecular, colloidal, bind, other, small, minor, entrapped, porous, 50-250, 6-12, able, hold, sufficient, unusual, due, large, disrupt, α-helixes, Due, stable, protect, non, excess, heat, sensitive, pH, normal, 6.5-6.7, precipitate, isoelectric, β-lactoglobulin, α-lactalbumin, such, water-soluble, biological, serve, transfer, lactose, resistant, proteolytic, cause, second, have, centrifugal, high, coffee, oil-in-water, cultured, fat, ensure, legal, present, minimum, dry, additional, processing, common, Recall, provide, reduce, gel, free, occur, next, Organic, citric, increase, metabolic, starter, prepare, short, improve, sized, allow, even, white, undergo, mild, harmful, homogenized, sterile, introduce, ideal, mesophilic, 1-2, active, essential, responsible, reach, Lactic, Gram-positive, facultative, latic, subsp, lower, produce, final, ===, surface, complex, avoid, increased, denatured, whey, structural, slow, rapid, physicochemical, potential, net, negative, k, η, \displaystyle, ka, \right\rfloor, formula, electrophoretic, dielectric, find, electrokinetic, electrostatic, begin, ordered, strong, heating, insoluble, casein.The, hydrogen, hydrophobic, dependent, ionic, Rheological, time-dependent, previous, make, versatile, traditional, baked, chopped, fresh, creamy, salad, American-style, provide, various, potato, Norwegian, popular, eastern, individual, industrial, External"
168,Soup and sandwich,"sandwich, popular, specialize, prepared, frozen, common, intended, be, whole, grilled, tomato, American, ==, contemporary, light, such, fast, casual, North, different, expand, early, include, company-owned, Prepared, national, promising, initial, high, new, short-lived, mass-produced, portal"
169,Squab (food),"culinary, young, domestic, old, dark, Scandinavian, Swedish, loose, fat, such, extinct-in-the-wild, now-extinct, squab, have, many, common, modern, much, recorded, exotic, contemporary, poor, adult, ==, Texts, Such, cheap, available, resource-poor, north-western, important, grain, 16th, cause, French, be, self-sufficient, living, unexpected, supplementary, medieval, other, Second, eat, early, annual, half, squabs, form, breed, squabs, produce, forage, return, rest, weight, quick, large, two-nest, new, second, first, parental, vital, eggs, hatch, well-maintained, initial, hatched, good, ready, fly, catch, cuisine, little, lean, digestible, rich, tender, fine-grained, mild, complex, red, white, 14th, hot, dry, edible, combined, sour, accompany, roasted, recipe, bitter, traditional, 15th, Italian, Kill, 18th, la, toad-like, popular, Religious, dietary, fast, long, cook, suitable, slow-cooked, wild, tenderize, relative, unfledged, several, Asian, Typical, Egyptian, expensive, table, easy, keep, susceptible, disease, grace, high, Chinese, celebratory, deep-fried, Cantonese-style, live, assure, Chinese-style, York-dressed, Confucian, Sundanese, Javanese, turmeric, garlic, deep, palm, sambal, nasi, banana, developed, distasteful, feral, unsanitary, urban"
170,Steak,"abdominal, fish, many, be, pan-fried, replicate, glowing, open, such, other, ostrich, various, salmon, large, pelagic, swordfish, cured, portobello, vegetarian, steak, ==, mid-15th, first, thick, Subsequent, steak, cod, suitable, steaks, steak-raid, Scottish, early, 15th-century, wild, enough, particular, culinary, Such, Asian, stir-fried, mixed, ===, national, common, traditional, grilled, international, Australian, sustainable, environmental, Irish, agricultural, significant, ===, find, tasty, include, entrant, shear, perceived, tasting, objective, disqualify, cooking, parallel, take, popular, British, raise, registered, grow, natural, retail, stew, steaks.Beef, single, small, gross, per, ==, different, cooked, blue, overdone, rare, soft, cold, red, suit, entire, have, raw, Fish, short, flesh, dissimilar, same, important, achieve, ensure, good, great, big, impatient, intricate, fine, french, domestic, professional, primary, entrée, main, hard, specialized, make, club, ancient, admitted, Beef-Steak, Rump-Steak, Liberty, present-day, notable, individual, open, 19th-century, famous, American, several, mid-19th, specialize, Classic, accompany, create, garlic, snail, rich, French, au, commercial, bottled, pre-mixed, category, spice, flavor, dry-rub, Cultural, frozen, exported, long, impossible, rely, available, local, indigenous, diet, sea-mammal, North, medieval, occasional, bred.In, contemporary, high, black, unethical, Vegan, dry, whole, cube, need, Food-borne, human, raw, safe, responsible, young, prime, wide, prepared, well-known, minute, prepare, Other, dish, seasoned, similar, mainstream, 19th, eat, political, perpendicular, delicate, papillote.Commercial, occur, 2-inch, versatile, primal, pulled, tough, due, typical, Cooked, gammon, full, whereas, likely, colonial, pack, valuable, southern, refer, beef, visible, white, connective, Vegetarian, form, steak-like"
171,Steak sandwich,"french, first, long, favorite, be, different, grilled, ==, Italian, thin, seasoned, Italian-style, have, green, unknown, French, ==, American, other, such, au, many, twentieth, sliced, beef, fast, sandwich, Western, roast, rare, top, horseradish, hot, shaved, red, cheese, preserved, optional, exact, own, various, Other, traditional, Australian, minute, fried, same"
172,Steak sauce,"dark, original, brown, ==, similar, major, numerous, regional, Several, steak, private-label, sweet, other, distinctive, orange-yellow, =="
173,Steamed clams,"seafood, dish, various, local, prepared, generic, small, be, medium-sized, live, hard, open, open, alive, ==, many, different, white, garlic, large, steamed, other, traditional, such, prepare, remove, black, few, quick, melted, eaten, inexpensive, great, shallow, amateur, available, get, cracked, clam"
174,Steamed ham,"twenty-first, seventh, brief, wide, interconnected, single, loose, possible, positive, short, interesting, go, attend, remove, outside, allergic, unorthodox, medical, electric, pay, bluffs, catch, horrible, leave, ensuing, use, Various, townspeople, gum, different, tall, small, teach, tell, ==, principal, own, main, accommodate, fit, similar, other, require, Show, make, entire, many, twenty-two, several, be, decide, write, top, favorite, put, deleted, elaborate, only, first, well.The, numerous, overall, solve, second, provide, get, include, appear, responsible, abrupt, hard, link, act, all-time, operate, normal, human, previous, unbelievable, thirteen, long, relaxed, important, real, maintain, 19th-century, look, Spanish, understood, accurate, non-Spanish, understand, Cultural, episodic, famous, direct, red, same, on-foot, Military, gags, arrive, pleased, have, create, original, weekly, personal, prominent, popular, Entertainment, priceless, Believe, untypical, good, visual, British, comedian, brilliant, ===, spin-off, focus, general, such, young, produce, interested, happen, inspire, ====, refer, regional, video, various, Australian, steamed, last, fan-made"
175,Stuffed ham,"mixed, deep, whole, have, popular, due, added, vary, stuffed, fund-raising, responsible, multi-drug, resistant, ham, ==, 2007-12-14"
176,Stuffed peppers,"dish, different, traditional, Spanish, piquillo, chicken, cod, red, popular, several, vegetable, cooked, turmeric, lemon, street, hot, cooler, western, big, green, flour, similar, hatch, be, potent, stuffed, such, Armenian, Greek, ==, pepper, roasted, and/or, other, jalapeño, ground, deep, ==, shredded, tomato, inside, bread, Scandinavian, Baltic, Finnish, Norwegian, Swedish, Lithuanian, various, Latvian, Estonian, Croatian, Serbian, Albanian, Polish, Slovenian, Полнети, Macedonian, German, Bulgarian, Фарширований, minced, Hungarian, mixed, white, eggs, umpluţi, Romanian, [, umˈplut͡sʲ, prepared, American, yellow, cheese, vary, slow, canned, soft"
177,Stuffed zucchini,"كوسة, former, various, hot, main, meatless, olive-oil, ==, cylindrical, further, similar, punjene, stuffed, mixed, Croatian, Serbian, Пуњене, Albanian, Macedonian, Полнети, Bulgarian, Пълнени, Greek, Γεμιστά, Turkish, /, ALA-LC, stuffed.The, vegetable, mature, other, ==, pumpkin"
178,Succotash,"broken, culinary, sweet, lima, other, Other, be, green, red, high, essential, inexpensive, available, popular, casserole, light, top, traditional, many, American, ==, Cultural, supper, succotash, wish, make, first, album, Impossible, frustrated, legume, maize, regional, 0-8263-3592-6, External, Make"
179,Surf and turf,"main, red, be, whole, beef, standard, lobster, available, British/Irish-style, ==, unclear, known, symbolize, Continental, frozen, ersatz, middle, recent, such, prepared, various, steak"
180,Swiss steak,"Swiss, meat, other, such, stem, =="
181,Tetrazzini,"American, diced, parmesan, hot, thin, be, baked, noodle, give, browned, canned, other, Italian, have, circa, long-time, Good, first, turkey, find, cooked, bread, famous, universal, dish, various, different, hard, describe, specific, e.g., chicken, tuna, casserole, =="
182,Cuisine of the Thirteen Colonies,"drastic, American, depend, British, Indian, agricultural, focus, self-sufficient, ==, detailed, various, regional, following, ===, early, 17th, first, Virginian, English, many, poor, southern, plentiful, everyone—rich, poor—ate, several, day.Poor, white, black, humble, incorporate, African, similar, soul, 20th, Overall, rich, pungent, important, social, true, Wealthy, vary, only, slow, develop, Typical, upper, good, Common, salt-cured, traditional, Anglian, conservative, religious, few, practical, indulge, eating, stratified, eat, great, be, Baked, everyday, dark, disease, maize, rye, popular, other, North, particular, such, baked, Mid-Atlantic, northern, different, Excessive, drink, public, thou, sure, sit, fish, abundant, Many, eccentric, avoid, pacifist, boycott, due, slave, Eating, egalitarian, entire, dine, same, typical, ancestral, standard, common, daily, favored, cheese, generic, colonial, stand, semi-solid, add, dried, widespread, 18th, dominant, German, ===, last, major, seek, economic, escape, Scots-Irish, Scottish, hard, come, leftover, previous, fresh, diet, soured, boiled, yogurt-like, dietary, Anglican, missionary, unleavened, circular, griddle, become, primary, sheep, efficient, distinctive, two-tined, large, breakable, dull, feasible, apparent, further, filthy, execrable, unlucky, wash, human, old, Appalachian, ], mere, appropriate, sick, unfit, familiar, domestic, environmental, continental, create, Local, use, ignore, available, local, mid-18th, general, French, give, odd, anti-French, age-old, deport, French-speaking, forced, Acadian, little, striking, seasonal, restricted, coastal, close, supplement, impossible, grow, expensive, wheaten, beneficial, animal, defend, natural, hunted, over-hunted, numerous, unsuitable, Spanish, casual, roam, free, Forage-based, strong, gamey, tough, slow, cook, deerskin, bear, rare, exportable, salted, suitable, long-term, codfish, ====, colder, Other, Agricultural, eaten, wet, winter, European, alcoholic, produce, own, affordable, average, bitter, sour, freeze-distilled, cold, pay, maritime, easy, distilled, main, whiskey, ready, have, sugar, coarse, raucous, watch, ensure, adequate, essential, wild, alcohol-based, disease-causing, small, Southern, central, cultural, single, culinary, indigenous, rural, ate, vegetable, ample, poorer, eighteenth, home-brewed, responsible, make, necessary, alcohol, affluent, afford, healthy, direct, varied, inherent, native, Dietary, dependent, basic, continue, lacked, generate, thumb, civilized, patriotic, upon, harsh, imported, promote, encourage, prevailing, purchase, short, radical, take, superficial, heated, well-known, concentrated, serve, do, enter, profound, sustain, diverse, military, normal, hot, whiskey, ferment, brew, integral, illegal, consume, extreme, over-hunting, French-Indian, able, increase, beef, naval, salt, perilous, much, cod, change, vast, lobster, shores.Where, historic, comedic, new, modern"
183,Thousand Island dressing,"American, include, olive, common, alternative, Russian, chopped, green, hard-boiled, garlic, such, ==, upper, second, maître, put, mention, determine, third, origin, original, French, be, oral, traditional, late, 19th, local, same, different, appear, ==, fast-food, special, secret, In-N-Out, several, Similar, Swedish, similar, popular, unclear"
184,Toaster Strudel,"toaster, included, notable, due, ==, considerable, Pop-Tarts, non-frozen, foreign, new, similar, savory, popular, teen, snack, Official"
185,Tomato compote,"relish, side, main, Little, be, sauteed, tomato, portal"
186,Tuna casserole,"casserole, potato, bread, fried, common, nonperishable, ==, popular, American, cheap, easy, find, prepared, be, frozen, next, take, small, sick, through, countless, green, cooked, baking, cheese"
187,Turducken,"dish, deboned, further, traditional, recipe, gastric, another.The, thoracic, seasoned, breadcrumb, different, solid, poultry, suitable, ==, uncertain, have, common, local, own, create, final, turducken, regional, southern, key, be, modern, mass-produced, cornish, chicken, available, multiple, turducken, mid, many, popular, commercial, three-bird, royal, Pure, five-bird, Multi-bird, gastronomist, roast, equal, similar, ancient, novel, small, large, hold, olive, multi-bird, other, goose, chicken.An, early, French, fanciful, roundabout, following, Take, young, fine, bright, ready, correct, talk, delicious, perfumed, good, sacred, hot, golden, Spanish, p., late, extraordinary, such, succulent, Prepare, whole, put, Stuff, camel, £665"
188,Thanksgiving turkey,"contemporary, large, roasted, traditional, such, mashed, regional, cultural, American, native, grow, eating, other, Historical, great, wild, many, Many, first, become, modern, Early, French, Canadian, freshly-hunted, fish, local, refrain, high, uncommon, following, venison, hickory, nut, coffee.A, Civilian, green, asparagus, baked, hot, voluntary, promote, cease, forbidden, common, main, raise, be, turkey, similar, ideal, due, Thanksgiving, bread-based, chopped, Other, tree, prepared, Deep-fried, ingrained, live, live, short, natural, ==, turkey, Non-traditional, non-traditional, European, fowl, nested, few, early, have, lentil-based, stuffed, Alaskan, whale, eaten.Irish, prime, save, signify, newfound, serve, Basic, own, financial, available, make, begin, Copious, meal, Traditional, specific, riced, semi-formal, ritual, say, incomplete, latter, brown, frozen, popular, particular, fresh, various, pumpkin, sweet, pecan, white, several, Mid-Atlantic, African, noodle, Jewish, consume, close, rare, unheard, Mexican, arroz, pigeon, root, pumpkin-coconut, Spanish, hard, small, black, alternative, entree, vegetable, Norwegian, Scandinavian, vary, much, present, unfermented, Southern, annual, pair, wide"
189,Vichyssoise,"French, ​, thick, boiled, puréed, chicken, be, hot, ==, common, 19th, Potage, 18th, military, similar, culinary, afraid, many, cold, American, questionable, genuinely, leek, make, cool, delicious, same, spa, English, popular, ask, distract, soups, vegetable"
190,Waffle,"dish, leavened, give, characteristic, many, regional, be, fresh, frozen, ==, first, English, Take, 13th, French, 'cake'.Alternate, modern, medieval, wafe, waffel, wåfe, wāfel, ===, ancient, flat, hot, open, long, early, 9th–10th, simultaneous, à, wafer, trivial, emblematic, communion.The, basic, 11th, new, culinary, such, other, have, northwestern, continental, responsible, contemporaneous, subsequent, light, arise, late, 14th, anonymous, young, Beat, add, fill, little, much, large, cook, detach, cheese, waffle, 13th–14th, 15th, true, physical, evolve, fourth, flour, indistinguishable, common, oublie, rectangular, circular, create, classic, Belgian, become, 16th, particular, fine, individual, thin, contemporary, second, partial, grated, white, half, use, warm, mix, visible, twelve, want, expensive, Put, let, rise, mid-16th, les, d'être, la, 17th, honey-sweetened, non-wheat, accessible, average, wheat-based, sugar-sweetened, present, worth, delicate, mixed, dessert, 18th, rare, specific, sugar, same, lemon, Spanish, cooking.A, designate, famous, Flemish, /, German, popular, spread, 'wafel, –, distinctive, brioche-based, crushed, Parisian, incorporate, gros, several, complete, hail, full, appear, 19th, commercial, historical, transitional, beet, prominence, inexpensive, available, wide, middle, rapidly.By, 20th, professional, street-vendor-based, homemade, electric, mid-1930s, dry, go, innovate, protect, iron.Belgian-style, Belgian-style, American, pre-existing, original, prepared, egg-white-leavened, yeast-leavened, ale, lighter, European, easy, differentiate, whipped, soft, Swiss, central, publish, Native, nation.Flemish, northern, western, deux, Moisten, fifteen, un, take, wrap, rub, make, put, serve, top.American, sweet, different, fried, various, ubiquitous, southern, North, simplified, yeast-raised, standard, authentic, popularize, crisp, dense, rice, traditional, grid, eaten, similar, cooked, eat, dense, ball-shaped, green, cheap, irons.Scandinavian, heart-shaped, sour, salted, blue, savory, uncommon, Swedish, Christian, Other, salmon, cold-smoked, singular, Piedmontese, come, Italian, waffle-like, stiff, brown, Medium-sized, pre-prepared, campinoises/Kempense, rigid, crunchy, margarine, accepted, plain, chocolate, sugarIce, ==, critical, develop, high, difficult, pour, expand, thick, increased, evaporate, textural, condense, due, crystalline, enthalpy, starch, dictionary"
191,Chinese noodles,"essential, Chinese, important, regional, other, Asian, sizable, overseas, Chinese-style, such, hủ, Vietnamese, ==, be, difficult, due, vast, available, many, name, traditional, mein, 粉, mung, non-wheat, noodle, Cantonese, main, use, prominent, military, necessary, implement, make, affordable, “, Laomian, rich, store, transport, popular, open, dynastic, soup, delightful, mixed, various, scholarly, ancient, bready, wheat, bean, northern, typical, southern, wheat, give, different, flour, low, change, illegal, whiten, improve, common, general, chinese, form, boiling, hard, bright, creamy, white, yellow, automatic, quick, 3-5, Fresh, controlled, dried, cold, 1-2, vegetable, prevent, lye, desired, starch-based, rice, pliable, dough, mechanical, produce, create, shelf-stable, eaten, fresh, dry, deep-fried, Certain, raw, Western, require, become, al, finish, cook, intended, ====, Lye-water, sodium, subtle, distinctive, ===, Rice-based, strandsThese, unorthodox, choose, add, modify, ===, reduce, western, youmian, thin-walled, staple, special, ensure, stick, eat, ==, small, mian, gan, Zhajiangmian, cuisine, Japanese, Korean"
192,Chow mein,"Chinese, traditional, stir-fried, Taishanese, popular, mein, mean, 'stir-fried, sautéed, English, Portuguese, be, ===, American, dish, common, specific, Vegetarian, vegan, main, available, see, crisper, flat, soft, noodles.Crispy, finished, strained, have, many, different, mung, thick, mixed, soy, regional, deep, fried, crispy, few, steamed, separate, lo, used.The, hamburger-style, receive, chop, similar, chop, green, generous, cultural, other, significant, Asian, fit, local, dominant, gravy, canned, Italian, make, acceptable, senior, military, particular, include, noodles.In, first, upon, European, ethnic, keep, expensive, successful, good, several, 'stew-type, guess, great, increase, effective, Australian, dry, stir, sit, underside, serve, single, little, garlic, rice, light, such, bok, chopped, unique, Brazilian, Japanese, [, [, jakisoˈba, North, entire, vegetarian, egg, much, al, heavy, sesame, bean, and/or, yakibifum, same, white, queijo, tofu, spring, bright, red, sweet-sour, Canadian, offer, identical, Cantonese, deep-fried, golden, bamboo, char, Western, substitute, plain, chow, own, dried, Indian, general, South, pork, hot, foreign, owned, Western-style, distinct, shredded, vegetable, sometimes, non-meat, scrambled, chilli, Mexican, past, northwestern, Nepalese, Peruvian, mainstream, contain, crunchy, Indonesian, Malaysian"
193,Noodle soup,"other, light, common, dish, such, ==, myriad, noodle, many, various, Asian, mian, [, flat-shaped, flat, cold, Chinese, uncooked, raw, ready, eat, warm, Typical, lanzhou, stewed, red, braised, popular, simple, typical, traditional, ingredients。, Cantonese, Japanese, hot, soy-dashi, chopped, Popular, deep, thin, brown, likely, see, thick, Chinese-influenced, chicken, past, yellow, pickled, great, vegetable, cheap, wheat-flour, fish, beni, chilli-infused, udon, regional, fresh, green, Korean-Chinese, buckwheat, chilled, Korean, humid, South, instant, quick, easy, spicy, ====, dried, vermicelli, short, large, due, use, ===, hybrid, multicultural, modern, char, Portuguese, Italian-American, fried, ====, fine, white, lime, wet, kaffir, garlic, khao, piak, sen, distinct, long-simmered, pounded, sweet, shrimp-based, Indonesian, rich, beef, bean, sliced, add, ayam, hard-boiled, mixed, shrimp, bitter, soup, be, sour, Various, shredded, tofu, sambal, Vietnamese, prawn, small, pepper, chilli, –, Burmese, Fish, chicken, dry, national, lemon, turmeric, chickpea, wheat, added, Western, suit, adjust, eaten, Spanish, clear, lye, water-soaked, gravy-like, hard, lye-soaked, similar, ho, akin, famous, give, take, little, cook, last, possible, broth-based, spiced, thich, beef, annatto, macaroni, wide, egg, nam, direct, kuaitiao, separate, khanom, soup-like, minced, roast, mu, additional, silken, chin, ngiao, soy, deep-fried, northern, characteristic, tau, silky, bánh, tapioca/rice, crab-roe, special, pig, ngo, leaf, đa, phở, =="
194,Zhajiangmian,"Zhajiangmian, Chinese, soybean, dish, thick, stir-fried, fried, stir-frying, carry, Classical, fresh, radish, extra, be, Low-fat, popular, ==, iconic, unknown, few, available, ===, vegetarian, Eight-Nation, move, south, collective, long, have, tasty, good, Good, leave, continue, zhajiangmian, eat, ==, yellow, make, soy, bean, ===, due, Korean-Chinese, eggplant, need, military, cumian, Sweet"
195,Lamian,"Lamian, Chinese, unique, traditional, make, lamian, ==, hand-making, produce, many, thin, long, pull, stretch, 面/traditional, noodle, several, same, align, warm, workable, cut, middle, keep, desired, final, remove, excess, quick, ensure, uniform, dust, untwisted, double, increase, potential, flat, much, mutton-flavored, tangmian, stir-fried, chaomian, chow, dish, different, Lanzhou-style, common, western, eastern, serve, low, daoxiaomian, 'knife-sliced, Xi'an-style, be, cold, salad, such, shredded, ethnic, halal, typical, Shandong, alien, lanzhou, suit, local, south-eastern, similar, identical, lanzhou, hand-cut, Lanzhou, non-Hui, non-Muslim, mainland, cheap, other, non-Lanzhou, ===, popular, main"
196,Almond milk,"creamy, nutty, lactose, lactose-intolerant, avoid, Commercial, sweetened, unsweetened, be, soy, imperial, ==, historian, Meat-day, fish-day, better-organized, basic, fast-day, ordinary-day, thin, split-pea, fish, fast, almond, general, Persian, early, increase, almond, popular, plant-based, plant-milk, total, Italian, protected, traditional, agricultural, ==, unfortified, vitamin, fortified, voluntary, low, suitable, modern, domestic, grind, strain, flesh, American, false, small, final, mild, rich, abundant, ideal, recent, difficult, raise, sustainable, complex, high, produce, single, US, grow, average, 20-25"
197,Asian pear,"Asian, different, Chinese, brown, yellow, white, European"
198,Baby bok choy,"American, pak, British, pok, refer, Chinese, xiǎo, 'Small, form, green, bulbous, popular, southern, winter-hardy, own, naming, Other, ambiguous, bok, small, white, vegetable, dai, big, be, pak, descriptive, many, specific, 青菜, qīng, blue-green, baak, same, bái, Spanish, come, traditional, true, Regular, expensive, dark, crisp, suitable, Cantonese, stir, raw, slimy, long, unavailable, ==, rich, moderate, see, nutrient, nutrient-rich, prevent, toxic, large, ill, elderly, diabetic, treat, inhibit, sum, leaf"
199,Baijiu,"Chinese, clear, white, liquor, other, be, southeastern, employ, glutinous, use, lacryma-jobi, qū, starter, pulverized, appear, similar, several, Asian, Japanese, Korean, dark, ==, resemble, current, solid-state, simultaneous, typical, baijiu, small, drinkware, traditional, drink, own, medicinal, ==, inexpensive, same, many, command, popular, wide, regional, distinctive, culinary, third, nationwide, various, aroma.The, major, overwhelming, strong, light, following, direct, fragrant, bold, bean, sorghum, Western, sauce, large, layered, umami, delicious, perfect, fine, known, nóngxiāng, distilled, sweet, unctuous, mellow, gentle, high, ethyl, supposed, Other, notable, qīngxiāng, dry, delectable, clean, give, dried, floral, primary, èrguōtóu, such, rice-based, little, aromatic, fèngxiāng, rattan, strong-aroma, mud, sauce-aroma, nutty, fat, fermented, savory, separate, pit-fermented, Extra-strong, fùyùxiāng, big, Special, tèxiāng, lǎobáigānxiāng, Similar, light-aroma, wheat-based, common, ===, second, blue-collar, northern, northeastern, commonly-drunk, Red, gāoliángjiǔ, old, Three, local, famous, herbal, double-distilled, triple-distilled, rice-aroma, foreign, flourish, able, Luzhou, unique, due, renowned, Liulingzui, special, first, Time-honored, southern, raw, Five-Grain, brew, drunk, drunkard, western, produce, ancient, Panama-Pacific, enough, solve, authentic, red, agricultural, exceptional, hand-crafted, Cantonese, steamed, Jian, dynasty, so-called, Liquor-making, rare, underground, natural, weak, alkaline, mineral, excellent, pure, Popular, crystal, osmanthus, bamboo-leaf, green, bamboo, yellowish-green, mei, Imperial, twenty, royal, tea, recent, hawthorn, oolong, oolong, black, available, chajiu, alcoholic"
200,Beef brisket,"precise, superficial, deep, have, collar, significant, connective, resulting, be, tenderize, costal, ==, many, tough, due, fat, left, keep, prolonged, necessary, break, gelatin, Popular, indirect, such, pecan, hickory, added, other, main, certain, burnt, finished, popular, make, open-faced, white, traditional, main-course, slow, three-pound, whole, meat-cutting, North, American, photographic, retail, lean, first, flat, second, triangular, ==, Other, long, indigenous, southern, synonymous, there.In, Jewish, Ashkenazi, Montreal-style, smoked, close, low, curry.In, Korean, aromatic, heavy, full, soy, sauce-based, preserved, match-length, complete, cook, thin, hot, prepare, suea, rong, grilled, seasoned, green, amongst, common, Vietnamese, low-cost, lidded, casserole, dish, Good, Italian, bollito, typical, national, dark, German, small, steak, 1-931686-79-3, External, dictionary"
201,Beggar's Chicken,"Chinese, low, single, take, prepared, ceramic, ==, popular, many, clay-wrapped, slow, old.Various, packed, open, aromatic, other, mud-hole, avoid, attract, imperial, dine, childhood, ==, non-toxic, retain, various, be, outdoor, Non-toxic, pay, much, crack, dangerous, expensive, purchase, oven, domestic, eliminate, cover, dish, cook, ready, electric, simplified"
202,Bingtang hulu,"traditional, Chinese, candied, regular, sugary, popular, northern, sweet, sour, eat, southern, available, large, such, hard, common, mean, sugar, bottle, slight, recent, various, other, red, ==, =="
